medallion,pickuptime,dropofftime,passengers,pickupx,pickupy,dropoffx,dropoffy,fare,paymenttype,surcharge,mtatax,tip,tolls,total
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 6:00,2/6/13 6:03,1,-73.97039,40.794312,-73.964478,40.807198,5,CSH,0.5,0.5,0,0,6
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 6:11,2/6/13 6:19,1,-73.96682,40.793674,-73.966331,40.807308,7.5,CSH,0,0.5,0,0,8
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 6:21,2/6/13 6:28,1,-73.966682,40.804653,-73.977898,40.785347,7.5,CSH,0,0.5,0,0,8
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 6:40,2/6/13 6:43,1,-73.973236,40.790062,-73.955658,40.787727,5.5,CSH,0,0.5,0,0,6
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 7:00,2/6/13 7:10,1,-73.970863,40.788437,-73.980377,40.753796,11,CSH,0,0.5,0,0,11.5
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 7:14,2/6/13 7:19,1,-73.977249,40.755196,-73.979019,40.762371,5,CRD,0,0.5,1.1,0,6.6
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 7:24,2/6/13 7:34,1,-73.977386,40.77449,-73.952568,40.789452,10.5,CRD,0,0.5,1,0,12
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 7:41,2/6/13 7:57,1,-73.967789,40.792484,-73.975395,40.75489,13.5,CRD,0,0.5,2.8,0,16.8
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 8:14,2/6/13 8:26,1,-73.961388,40.777267,-73.978622,40.766758,10,CRD,0,0.5,2.1,0,12.6
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 8:28,2/6/13 8:38,1,-73.978127,40.766491,-73.973999,40.753239,8.5,CRD,0,0.5,1,0,10
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 8:54,2/6/13 9:09,1,-73.959244,40.77739,-73.978508,40.757248,11.5,CRD,0,0.5,2.4,0,14.4
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 9:15,2/6/13 9:22,1,-73.982323,40.757339,-73.970818,40.758965,6.5,CSH,0,0.5,0,0,7
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 9:34,2/6/13 9:38,1,-73.951218,40.782509,-73.957352,40.777077,5,CSH,0,0.5,0,0,5.5
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 9:42,2/6/13 10:02,1,-73.956284,40.781803,-73.988174,40.754478,15,CSH,0,0.5,0,0,15.5
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 10:10,2/6/13 10:26,1,-73.976814,40.764671,-73.960854,40.806892,13.5,CRD,0,0.5,1,0,15
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 10:33,2/6/13 10:37,1,-73.964211,40.811234,-73.980751,40.789482,7,CSH,0,0.5,0,0,7.5
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 15:32,2/6/13 15:38,1,-73.966927,40.79385,-73.967094,40.807144,6.5,CSH,0,0.5,0,0,7
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 15:41,2/6/13 15:55,1,-73.965065,40.806702,-73.957001,40.780457,12.5,CSH,0,0.5,0,0,13
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 16:02,2/6/13 16:10,1,-73.95932,40.774174,-73.954933,40.773159,8,CSH,1,0.5,0,0,9.5
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 16:30,2/6/13 16:36,1,-73.962898,40.772346,-73.972267,40.758129,6.5,CSH,1,0.5,0,0,8
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 16:39,2/6/13 16:45,1,-73.976784,40.759121,-73.990898,40.750465,6.5,CRD,1,0.5,2,0,10
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 16:48,2/6/13 17:01,1,-73.988335,40.75008,-73.954491,40.777309,12,CSH,1,0.5,0,0,13.5
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 17:05,2/6/13 17:09,1,-73.959015,40.777721,-73.968353,40.764946,5.5,CRD,1,0.5,1,0,8
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 17:12,2/6/13 17:20,1,-73.97052,40.764889,-73.984665,40.76104,7.5,CSH,1,0.5,0,0,9
86485F0B1CBDDD6FB6C993011A28B15D,2/6/13 17:21,2/6/13 17:28,1,-73.984688,40.760944,-73.980576,40.767677,6,CSH,1,0.5,0,0,7.5
